rank,file_name,series_name,total_length,train_length,test_length,ks_statistic,p_value,bh_adjusted_p_value,is_significant
138,113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392.txt,CIMIS44AirTemperature1,8184,5391,2792,0.092945687363,2.790140443330e-14,5.054602252409e-14,yes
139,063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,DISTORTEDgaitHunt2,64000,31200,32150,0.031691938828,2.988805553144e-14,5.375549556015e-14,yes
140,008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597.txt,DISTORTEDCIMIS44AirTemperature4,8184,5549,2587,0.093944847963,5.272114259362e-14,9.414489748860e-14,yes
141,178_UCR_Anomaly_ltstdbs30791AI_17555_52600_52800.txt,ltstdbs30791AI,56123,52600,3323,0.070244745403,7.398847622418e-14,1.311852415322e-13,yes
142,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597.txt,CIMIS44AirTemperature4,8184,5549,2587,0.093328836957,7.934120453506e-14,1.396852192519e-13,yes
143,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,DISTORTED1sddb40,79795,52000,27175,0.029164408039,1.271574711851e-13,2.223032713026e-13,yes
144,095_UCR_Anomaly_NOISECIMIS44AirTemperature4_4000_5549_5597.txt,NOISECIMIS44AirTemperature4,8184,5549,2587,0.092024994596,1.868330572940e-13,3.243629466909e-13,yes
145,054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.txt,DISTORTEDWalkingAceleration5,6684,5920,705,0.152975848189,2.459140042912e-13,4.227077811571e-13,yes
146,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.txt,DISTORTEDGP711MarkerLFM5z4,12000,6527,5355,0.070977482459,2.468613441957e-13,4.227077811571e-13,yes
147,040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.txt,DISTORTEDLab2Cmac011215EPG4,30066,17390,12546,0.044774592352,3.909083437859e-13,6.648101084793e-13,yes
148,105_UCR_Anomaly_NOISEgait3_24500_59900_60500.txt,NOISEgait3,65000,59900,4500,0.058857725839,4.778359973550e-13,8.071554009376e-13,yes
149,118_UCR_Anomaly_CIMIS44AirTemperature6_4000_6006_6054.txt,CIMIS44AirTemperature6,8184,6006,2130,0.095706640777,5.478286098514e-13,9.191755198849e-13,yes
150,129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,GP711MarkerLFM5z3,12000,5948,6007,0.068841283466,9.145761040117e-13,1.524293506686e-12,yes
151,162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979.txt,WalkingAceleration5,6684,5920,705,0.148713341001,1.265036567130e-12,2.094431402533e-12,yes
152,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt,DISTORTEDCIMIS44AirTemperature6,8184,6006,2130,0.093525723103,2.017411049862e-12,3.318110279378e-12,yes
153,006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,DISTORTEDCIMIS44AirTemperature2,8184,5703,2457,0.087325887431,7.617143515928e-12,1.244631293452e-11,yes
154,111_UCR_Anomaly_3sddb40_35000_46600_46900.txt,3sddb40,80000,46600,33100,0.025463934235,2.469070340662e-11,4.008231072503e-11,yes
155,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt,DISTORTEDGP711MarkerLFM5z5,12000,8612,3284,0.072506962780,2.570324859962e-11,4.145685258003e-11,yes
156,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250.txt,DISTORTEDresperation2,200051,168250,31801,0.021572308813,3.039075178712e-11,4.870312786398e-11,yes
157,152_UCR_Anomaly_PowerDemand1_9000_18485_18821.txt,PowerDemand1,29931,18485,11110,0.042042822080,4.279959115306e-11,6.815221521189e-11,yes
158,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727.txt,CIMIS44AirTemperature2,8184,5703,2457,0.083000464379,9.657467118763e-11,1.528080240311e-10,yes
159,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,DISTORTED2sddb40,80001,56600,23101,0.026773961417,1.194861958999e-10,1.878713772011e-10,yes
160,127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,GP711MarkerLFM5z1,12000,6168,5788,0.062324595724,1.571312548791e-10,2.455175857485e-10,yes
161,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.txt,DISTORTEDInternalBleeding5,7415,6200,1045,0.111585892885,3.728327226937e-10,5.789327992139e-10,yes
162,176_UCR_Anomaly_insectEPG4_1300_6508_6558.txt,insectEPG4,9998,6508,3440,0.068936264490,9.544550270023e-10,1.472924424386e-09,yes
163,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,DISTORTEDpark3m,90000,72150,17505,0.027359988028,1.356367861461e-09,2.080318805922e-09,yes
164,109_UCR_Anomaly_1sddb40_35000_52000_52620.txt,1sddb40,79795,52000,27175,0.024166354115,1.734876368617e-09,2.644628610697e-09,yes
165,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,DISTORTED3sddb40,80000,46600,33100,0.022951907991,2.742908835401e-09,4.155922477881e-09,yes
166,237_UCR_Anomaly_mit14157longtermecg_19313_89560_90370.txt,mit14157longtermecg,97000,89560,6630,0.038734483383,1.748979356600e-08,2.634005055120e-08,yes
167,011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100.txt,DISTORTEDECG1,30000,11800,17900,0.035767919705,2.430203549592e-08,3.638029265857e-08,yes
168,130_UCR_Anomaly_GP711MarkerLFM5z4_4000_6527_6645.txt,GP711MarkerLFM5z4,12000,6527,5355,0.054956692855,3.631109126012e-08,5.375156756673e-08,yes
169,093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,NOISE1sddb40,79795,52000,27175,0.022334955063,3.633605967511e-08,5.375156756673e-08,yes
170,015_UCR_Anomaly_DISTORTEDECG4_5000_16800_17100.txt,DISTORTEDECG4,200000,16800,182900,0.023539958083,7.717516899275e-08,1.134928955776e-07,yes
171,192_UCR_Anomaly_s20101mML2_12000_35774_35874.txt,s20101mML2,40000,35774,4126,0.046433227434,2.277679897898e-07,3.329941371196e-07,yes
172,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.txt,DISTORTEDInternalBleeding6,7654,3474,4025,0.065146089674,2.503005103226e-07,3.638088812829e-07,yes
173,044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821.txt,DISTORTEDPowerDemand1,29931,18485,11110,0.033627163095,2.981195996146e-07,4.308086699633e-07,yes
174,173_UCR_Anomaly_insectEPG1_3000_7000_7030.txt,insectEPG1,10001,7000,2971,0.061189354234,3.106509954325e-07,4.463376371157e-07,yes
175,175_UCR_Anomaly_insectEPG3_5200_7000_7050.txt,insectEPG3,9998,7000,2948,0.060977902694,3.766825305417e-07,5.381179007739e-07,yes
176,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800.txt,ltstdbs30791ES,55000,52600,2200,0.060062219150,4.583994467654e-07,6.511355777918e-07,yes
177,198_UCR_Anomaly_tiltAPB2_50000_124159_124985.txt,tiltAPB2,128767,124159,3782,0.045285563343,5.597594223107e-07,7.906206529812e-07,yes
178,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.txt,DISTORTEDInternalBleeding19,7500,4187,3303,0.060577117545,2.455156972383e-06,3.448254174695e-06,yes
179,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504.txt,Italianpowerdemand,29931,29480,427,0.125921436039,2.809622450419e-06,3.924053701703e-06,yes
180,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800.txt,DISTORTEDltstdbs30791AS,55000,52600,2200,0.056106118216,3.211016926505e-06,4.459745731257e-06,yes
181,123_UCR_Anomaly_ECG4_5000_16800_17100.txt,ECG4,200000,16800,182900,0.019429463147,1.777134028377e-05,2.454605011571e-05,yes
182,179_UCR_Anomaly_ltstdbs30791AS_23000_52600_52800.txt,ltstdbs30791AS,55000,52600,2200,0.052283097131,1.857039273028e-05,2.550878122291e-05,yes
183,229_UCR_Anomaly_mit14134longtermecg_16363_57960_57970.txt,mit14134longtermecg,59000,57960,1030,0.075183253265,2.020345018261e-05,2.760034177953e-05,yes
184,115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544.txt,CIMIS44AirTemperature3,8184,6520,1640,0.064361065390,3.643655876943e-05,4.950619398020e-05,yes
185,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985.txt,DISTORTEDtiltAPB2,128767,124159,3782,0.038253379312,4.207793329354e-05,5.663431949888e-05,yes
186,028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309.txt,DISTORTEDInternalBleeding17,7500,3198,4191,0.054351704246,4.213593370717e-05,5.663431949888e-05,yes
187,236_UCR_Anomaly_mit14157longtermecg_19313_46350_46390.txt,mit14157longtermecg,97000,46350,50610,0.014867381697,4.484102330760e-05,5.994789212245e-05,yes
188,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.txt,DISTORTEDs20101m,40000,35774,4126,0.037905192562,4.704695693184e-05,6.256244272851e-05,yes
189,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050.txt,DISTORTEDinsectEPG3,9998,7000,2948,0.050414809072,5.034225007472e-05,6.659027787661e-05,yes
190,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt,DISTORTEDCIMIS44AirTemperature3,8184,6520,1640,0.063366003292,5.090154189815e-05,6.697571302389e-05,yes
191,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100.txt,DISTORTEDECG4,30000,17000,12900,0.026209758322,8.257806374485e-05,1.080864708702e-04,yes
192,227_UCR_Anomaly_mit14134longtermecg_11231_29000_29100.txt,mit14134longtermecg,59302,29000,30202,0.018263476500,1.021747674723e-04,1.330400618129e-04,yes
193,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.txt,DISTORTEDinsectEPG1,10001,7000,2971,0.048322209934,1.127571557528e-04,1.460584919078e-04,yes
194,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874.txt,DISTORTEDs20101mML2,40000,35774,4126,0.036090384942,1.272767622441e-04,1.640164461908e-04,yes
195,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,DISTORTEDInternalBleeding16,7501,4187,3302,0.050851710401,1.361706456820e-04,1.745359432319e-04,yes
196,041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt,DISTORTEDLab2Cmac011215EPG5,29826,17390,12306,0.025770894706,1.368361794938e-04,1.745359432319e-04,yes
197,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,DISTORTEDInternalBleeding15,7601,5684,1747,0.059069795733,1.693176117050e-04,2.148700656155e-04,yes
198,121_UCR_Anomaly_ECG3_15000_16000_16100.txt,ECG3,30000,16000,13900,0.024018884892,3.686074762440e-04,4.654134801060e-04,yes
199,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587.txt,DISTORTEDInternalBleeding18,7500,4485,2913,0.048832186933,4.208895992806e-04,5.287557779907e-04,yes
200,107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,NOISEinsectEPG3,9998,7000,2948,0.044554952510,5.098303685548e-04,6.372879606936e-04,yes
201,072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,DISTORTEDltstdbs30791ES,55000,52600,2200,0.043999308676,5.441587661375e-04,6.768143857431e-04,yes
202,248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,weallwalk,8432,4702,3725,0.043584651969,7.152765764455e-04,8.852432876801e-04,yes
203,019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,DISTORTEDGP711MarkerLFM5z1,12000,6168,5788,0.036129023150,7.958859022915e-04,9.801550520831e-04,yes
